Region,roi173,NeocortexRegion,Lobe
1-2,1-2,Yes,Parietal
10m,10m,Yes,Frontal
10o,10o,Yes,Frontal
11l,11l,Yes,Frontal
11m,11m,Yes,Frontal
12l,12l,Yes,Frontal
12m,12m,Yes,Frontal
12o,12o,Yes,Frontal
12r,12r,Yes,Frontal
13a,13a,Yes,Frontal
13b,13b,Yes,Frontal
13l,13l,Yes,Frontal
13m,13m,Yes,Frontal
14c,14c,Yes,Frontal
14r,14r,Yes,Frontal
23a,23a,Yes,Cingulate
23b,23b,Yes,Cingulate
23c,23c,Yes,Cingulate
24a,24a,Yes,Cingulate
24a',24a',Yes,Cingulate
24b,24b,Yes,Cingulate
24b',24b',Yes,Cingulate
24c,24c,Yes,Cingulate
24c',24c',Yes,Cingulate
25,25,Yes,Frontal
31,31,Yes,Cingulate
32,32,Yes,Frontal
36c,36c,Yes,Temporal
3a/b,3a/b,Yes,Parietal
44,44,Yes,Frontal
45,45,Yes,Frontal
46d,46d,Yes,Frontal
46v,46v,Yes,Frontal
5,5,Yes,Parietal
7a,7a_(Opt/PG),Yes,Parietal
7b,7b_(PFG/PF),Yes,Parietal
7m,7m(PGm),Yes,Parietal
7op,7op,Yes,Parietal
8A,8Av,Yes,Frontal
8Bd,8Bd,Yes,Frontal
8Bm,8Bm,Yes,Frontal
8Bs,8Bs,Yes,Frontal
9d,9d,Yes,Frontal
9m,9m,Yes,Frontal
A1,A1,Yes,Temporal
AL,AL,Yes,Temporal
Amy,amy,No,Subcortical
Cd,Striatum,No,Subcortical
CL,CL,Yes,Temporal
cla,Claustrum,No,Subcortical
CM,CM,Yes,Temporal
F1,F1_(4),Yes,Frontal
F2,F2,Yes,Frontal
F3,F3,Yes,Frontal
F4,F4,Yes,Frontal
F5,F5,Yes,Frontal
F6,F6,Yes,Frontal
F7,F7,Yes,Frontal
FST,FST,Yes,Temporal
G,G,Yes,Insula
GP,GPeGPi,No,Subcortical
HC,HC,No,Subcortical
Ia,Ia,Yes,Insula
Ial,Ial,Yes,Insula
Iapl,Iapl,Yes,Insula
Iapm,Iapm,Yes,Insula
Id,Id,Yes,Insula
Ig,Ig,Yes,Insula
IPa,IPa,Yes,Temporal
LIPd,LIPd,Yes,Parietal
LIPv,LIPv,Yes,Parietal
ML,ML,Yes,Temporal
MST,MST,Yes,Temporal
MT,MT,Yes,Temporal
,Striatum,No,Subcortical
PGa,PGa,Yes,Temporal
Pi,Pi,Yes,Insula
Pir,Pir,No,Subcortical
PL,PL,No,Subcortical
PrCO,PrCO,Yes,Frontal
pu,Striatum,No,Subcortical
R,R,Yes,Temporal
Ri,Ri,Yes,Insula
RM,RM,Yes,Temporal
RT,RT,Yes,Temporal
RTL,RTL,Yes,Temporal
RTM,RTM,Yes,Temporal
SII,SII,Yes,Parietal
STG,STG,Yes,Temporal
TAa,TAa,Yes,Temporal
TEa,TEa,Yes,Temporal
TEad,TEad,Yes,Temporal
TEav,TEav,Yes,Temporal
TEm,TEm,Yes,Temporal
TEO,TEO,Yes,Temporal
TEpd,TEpd,Yes,Temporal
TEpv,TEpv,Yes,Temporal
TF,TF,Yes,Temporal
TFO,TFO,Yes,Temporal
TG,TG,Yes,Temporal
Tha,TH,No,Subcortical
TPO,TPO,Yes,Temporal
Tpt,Tpt,Yes,Temporal
V1,V1,Yes,Occipital
V2,V2,Yes,Occipital
V3d,V3d,Yes,Occipital
V3v,V3v,Yes,Occipital
V4,V4,Yes,Occipital
V4v,V4v,Yes,Occipital
VIP,VIP,Yes,Parietal
